FoundationalModel,Model,Species,Samples,ClassAccuracy_528,MisclasNum_528,MisclasInside_528,MisclasOutside_528,ClassAccuracy_34,MisclasNum_34,MisclasInside_34,MisclasOutside_34,ClassAccuracy_212,MisclasNum_212,MisclasInside_212,MisclasOutside_212,ClassAccuracy_473,MisclasNum_473,MisclasInside_473,MisclasOutside_473,ClassAccuracy_256,MisclasNum_256,MisclasInside_256,MisclasOutside_256,ClassAccuracy_330,MisclasNum_330,MisclasInside_330,MisclasOutside_330,ClusterSize_1,ClusterSize_2,ClusterSize_3,ClusterSize_4,ClusterSize_5,ClusterSize_6,ClusterSize_7,ClusterSize_10,ClusterSize_11
dino,Linear Classifier,277,1000,0.865,5,0,21,0.915,2,6,5,0.975,0,0,0,0.615,5,64,6,,,,,,,,,0.9243604651162791,0.9012142857142857,0.8762500000000001,0.8303125,,,0.9314285714285714,,
dino,Linear Classifier,277,3000,0.885,8,0,58,0.935,5,14,17,0.985,0,0,0,0.68,9,167,20,,,,,,,,,0.9395930232558137,0.9197142857142856,0.9029166666666667,0.8565625,,,0.932857142857143,,
dino,Linear Classifier,589,1000,0.535,12,0,84,0.785,6,24,15,0.8,2,36,0,0.49,9,81,15,0.5,12.0,70.0,17.0,0.665,12.0,24.0,29.0,0.912159468438538,0.8705701754385965,0.8429710144927537,0.8597222222222222,0.8393333333333335,0.8977777777777778,,0.8480000000000001,0.8809090909090909
dino,KNN,277,1000,0.52,20,0,81,0.74,6,19,26,0.975,0,0,0,0.335,20,56,63,,,,,,,,,0.7371802325581396,0.6787857142857143,0.6404166666666667,0.5209375,,,0.7050000000000001,,
dino,KNN,277,3000,0.58,31,0,238,0.725,15,58,93,0.955,2,8,4,0.485,33,137,159,,,,,,,,,0.7799127906976745,0.7243571428571429,0.6891666666666666,0.5940625,,,0.74,,
dino,KNN,589,1000,0.27,23,0,127,0.34,11,88,34,0.78,2,36,0,0.275,21,47,73,0.16,11.0,134.0,9.0,0.33,14.0,67.0,45.0,0.7077740863787376,0.6418859649122807,0.5671739130434782,0.5565277777777777,0.5073333333333334,0.6649999999999999,,0.575,0.6204545454545455
resnet,Linear Classifier,277,1000,0.74,8,0,45,0.58,11,13,56,0.835,6,4,12,0.5,5,84,7,,,,,,,,,0.7059011627906976,0.6582857142857145,0.6720833333333333,0.483125,,,0.6221428571428572,,
resnet,Linear Classifier,277,3000,0.73,18,0,149,0.64,15,43,149,0.895,14,12,34,0.54,12,215,43,,,,,,,,,0.7311627906976744,0.6838571428571428,0.6995833333333333,0.521875,,,0.625,,
resnet,Linear Classifier,589,1000,0.41,19,0,110,0.32,21,50,68,0.61,8,54,10,0.5,5,80,12,0.21,16.0,88.0,23.0,0.305,24.0,38.0,59.0,0.6508305647840531,0.6361842105263158,0.5594202898550725,0.515138888888889,0.49066666666666675,0.5511111111111111,,0.5579999999999999,0.5495454545454546
resnet,KNN,277,1000,0.535,12,0,81,0.355,14,22,93,0.795,9,0,30,0.53,6,80,10,,,,,,,,,0.43398255813953496,0.38878571428571435,0.4495833333333334,0.215625,,,0.2871428571428571,,
resnet,KNN,277,3000,0.595,25,0,225,0.42,21,56,269,0.855,18,9,67,0.415,9,294,46,,,,,,,,,0.48883720930232555,0.43442857142857155,0.49625,0.2546875,,,0.3242857142857143,,
resnet,KNN,589,1000,0.295,23,0,128,0.2,19,69,71,0.61,14,36,28,0.48,8,83,17,0.065,22.0,104.0,43.0,0.11,32.0,45.0,91.0,0.36528239202657803,0.38127192982456143,0.2909420289855073,0.23930555555555552,0.21266666666666667,0.28305555555555556,,0.3225,0.2613636363636363
